dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-01-01,12,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,11,0,1,0,0,0,0,0,0,0,0,0,0,1
2016-03-01,41,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,169,0,1,0,0,0,0,0,0,0,0,1,0,0
2016-05-01,110,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,53,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,2,0,1,0,0,0,0,0,0,0,0,1,0,1
2016-08-01,125,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,138,0,1,0,0,0,0,0,0,0,0,2,0,0
2016-10-01,151,0,1,0,0,0,0,0,8,5,7,1,0,0
2016-11-01,52,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,15,0,1,0,0,0,0,0,0,0,0,1,0,0
2017-01-01,97,0,1,0,0,0,0,0,0,0,0,2,0,1
2017-02-01,53,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-03-01,23,0,1,0,0,0,0,0,0,0,0,0,0,1
2017-04-01,60,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-01,83,0,1,0,0,0,0,0,0,0,0,1,0,0
2017-06-01,11,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,21,0,1,0,0,0,0,0,0,0,0,1,0,1
2017-08-01,64,0,1,0,0,0,0,0,0,0,0,2,0,0
2017-09-01,20,0,1,0,0,0,0,0,1,0,1,3,0,0
2017-10-01,23,0,1,0,0,0,0,0,0,0,0,1,0,0
2017-11-01,47,0,1,0,0,0,0,0,0,0,0,2,0,0
2017-12-01,11,0,1,0,0,0,0,0,0,0,0,3,0,0
2018-01-01,77,0,1,0,0,0,0,0,0,0,0,4,0,0
2018-02-01,57,0,1,0,0,0,0,0,0,0,0,5,0,1
2018-03-01,40,0,1,0,0,0,0,0,0,0,0,5,0,0
2018-04-01,18,0,2,0,0,0,0,0,0,0,0,3,0,0
2018-05-01,117,0,1,0,0,0,0,0,0,0,0,7,0,1
2018-06-01,103,0,1,0,0,0,0,0,0,0,0,8,0,0
2018-07-01,65,0,2,2,0,2,1,0,0,2,0,17,1,0
2018-08-01,110,0,3,2,0,2,1,0,0,2,0,15,3,0
2018-09-01,26,0,4,1,0,0,0,2,1,0,1,9,1,0
2018-10-01,41,0,2,0,0,0,0,0,0,0,0,3,0,0
2018-11-01,72,0,4,5,0,5,1,0,0,5,0,15,0,0
2018-12-01,49,0,5,1,0,2,2,2,0,2,2,8,2,0
2019-01-01,75,0,5,1,0,1,1,0,1,1,0,11,1,0
2019-02-01,50,0,7,8,0,3,1,10,6,5,22,1569,53,0
2019-03-01,8,0,5,2,0,1,1,0,2,2,6,191,10,1
2019-04-01,61,0,3,2,1,3,1,3,0,9,10,52,3,0
2019-05-01,53,0,3,1,0,1,1,0,1,1,5,36,1,0
2019-06-01,13,0,4,1,0,2,1,0,0,2,0,30,2,0
2019-07-01,1,0,1,1,0,0,0,0,1,0,0,33,1,0
2019-08-01,7,0,2,2,1,1,1,0,3,3,3,20,1,0
2019-09-01,9,0,2,0,0,0,0,0,0,1,2,21,2,0
2019-10-01,3,0,1,0,0,0,0,0,0,0,0,9,2,0
2019-11-01,26,0,2,1,0,0,0,0,0,1,2,17,2,0
2019-12-01,39,0,2,1,0,1,1,0,1,1,0,26,0,0
2020-01-01,37,0,3,1,0,0,0,0,2,1,2,32,0,0
2020-02-01,68,0,3,3,0,4,1,0,0,4,0,44,2,0
2020-03-01,125,0,4,3,1,4,1,1,0,5,1,81,5,0
2020-04-01,161,0,3,0,0,0,0,0,0,5,0,21,1,0
