dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-12-01,71,0,2,10,0,10,1,6,0,10,3,9,2,1
2016-01-01,3,0,2,2,1,1,1,0,0,2,0,1,0,0
2016-02-01,11,0,1,0,0,0,0,0,0,0,0,5,1,0
2016-03-01,11,0,2,3,0,3,1,2,0,3,1,3,0,0
2016-04-01,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2016-05-01,2,0,1,0,0,0,0,0,0,0,0,2,0,0
2016-06-01,5,0,2,1,0,1,1,2,0,1,1,1,2,0
2016-07-01,2,0,1,0,0,0,0,0,0,2,2,0,0,1
2016-08-01,24,0,2,3,0,3,1,4,0,3,2,2,1,0
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,7,0,2,2,0,2,1,0,0,3,2,2,0,0
2016-11-01,2,0,2,1,0,0,0,0,0,0,0,2,0,1
2016-12-01,39,0,2,7,0,8,1,4,0,8,2,0,2,0
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2017-02-01,8,0,2,1,0,1,1,2,0,1,1,1,1,0
2017-03-01,17,0,5,5,0,4,1,19,0,4,8,3,1,1
2017-04-01,15,0,2,1,0,1,1,3,0,1,3,4,1,0
2017-05-01,0,0,0,2,1,0,0,9,0,1,4,5,2,0
2017-06-01,1,0,1,3,1,0,0,11,0,1,1,9,4,1
2017-07-01,1,0,1,0,0,0,0,0,0,0,0,6,1,0
2017-08-01,6,0,1,0,0,0,0,0,0,0,0,5,0,0
2017-09-01,7,0,1,0,0,0,0,0,0,0,0,2,1,2
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2017-11-01,14,0,3,2,0,3,1,13,0,4,10,4,1,3
2017-12-01,8,0,3,2,1,2,1,12,0,4,9,5,0,1
2018-01-01,18,0,3,8,0,7,1,13,0,11,12,12,1,1
2018-02-01,6,0,2,1,0,1,1,2,0,2,4,12,0,1
2018-03-01,14,0,5,4,2,2,1,2,0,6,2,4,2,0
2018-04-01,1,0,1,0,0,1,1,1,0,1,1,2,2,0
2018-05-01,0,0,0,0,0,0,0,0,0,0,0,7,1,0
2018-06-01,1,0,1,0,0,0,0,0,0,0,0,5,0,1
2018-07-01,0,0,0,0,0,0,0,0,0,0,0,6,0,0
2018-08-01,2,0,1,0,0,0,0,0,0,0,0,2,0,0
2018-09-01,18,0,1,0,0,0,0,0,0,0,0,6,0,0
2018-10-01,21,0,2,0,0,0,0,0,0,0,0,2,0,0
2018-11-01,54,0,4,2,2,0,0,4,0,2,2,29,2,0
2018-12-01,20,0,1,0,0,0,0,0,0,0,0,40,1,0
2019-01-01,68,0,4,0,0,0,0,0,0,0,0,25,0,1
2019-02-01,23,0,2,0,1,0,0,1,0,1,1,17,2,0
2019-03-01,26,0,3,0,0,0,0,0,0,0,0,23,1,1
2019-04-01,23,0,3,1,0,0,0,1,0,0,0,23,3,0
2019-05-01,39,0,1,0,0,0,0,0,0,0,0,18,1,0
2019-06-01,22,0,1,1,2,0,0,3,0,2,2,17,2,0
2019-07-01,7,0,2,0,0,0,0,0,0,0,0,41,2,0
2019-08-01,43,0,2,0,0,0,0,0,0,0,0,21,1,0
2019-09-01,28,0,2,0,0,0,0,0,0,0,0,14,2,0
2019-10-01,93,0,2,0,0,0,0,0,0,0,0,30,2,1
2019-11-01,129,0,3,0,1,0,0,0,0,20,22,21,1,0
2019-12-01,80,0,4,0,0,0,0,0,24,8,70,1054,34,0
2020-01-01,16,0,1,0,0,0,0,0,6,7,30,123,8,0
2020-02-01,51,0,1,0,0,0,0,0,4,16,39,109,4,0
2020-03-01,43,0,4,1,1,0,0,0,13,17,56,166,9,0
