dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-01-01,54,0,3,0,0,0,0,0,0,0,0,0,0,2
2016-02-01,61,0,4,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,86,0,4,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,105,0,4,0,0,0,0,0,0,0,0,0,0,1
2016-05-01,80,0,5,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,139,0,5,0,0,0,0,0,0,2,2,0,0,2
2016-07-01,81,0,5,0,0,0,0,0,0,4,3,0,0,0
2016-08-01,173,0,5,0,0,0,0,0,1,20,30,0,0,0
2016-09-01,110,0,5,0,0,0,0,0,0,19,44,0,0,0
2016-10-01,101,0,5,0,0,0,0,0,0,19,51,0,0,3
2016-11-01,73,0,5,0,0,0,0,0,0,20,63,0,0,0
2016-12-01,89,0,6,0,0,0,0,0,0,23,50,0,0,1
2017-01-01,113,0,6,0,0,0,0,0,3,14,36,0,0,0
2017-02-01,238,0,17,6,6,0,0,20,22,84,380,2635,82,3
2017-03-01,196,0,17,0,0,0,0,0,9,65,292,379,25,1
2017-04-01,46,0,7,0,0,0,0,0,3,16,46,37,3,0
2017-05-01,54,0,10,1,1,0,0,2,5,13,57,219,8,1
2017-06-01,54,0,6,0,0,0,0,0,4,11,38,184,5,0
2017-07-01,87,0,8,1,1,0,0,2,4,37,162,118,14,0
2017-08-01,41,0,7,0,0,0,0,0,3,29,91,85,4,2
2017-09-01,37,0,6,1,1,0,0,2,5,7,26,69,3,0
2017-10-01,106,0,8,2,2,0,0,12,15,32,123,158,9,0
2017-11-01,62,0,9,1,1,0,0,0,11,27,116,135,6,0
2017-12-01,46,0,7,0,0,0,0,0,4,26,125,131,9,1
2018-01-01,31,0,8,0,0,0,0,0,5,7,29,148,11,1
2018-02-01,11,0,2,0,0,0,0,0,1,0,1,91,6,0
2018-03-01,5,0,3,0,0,0,0,0,1,4,16,56,5,1
2018-04-01,3,0,3,0,0,0,0,0,1,4,6,63,4,1
2018-05-01,3,0,2,1,1,0,0,2,0,8,31,52,5,1
2018-06-01,2,0,1,0,0,0,0,0,5,1,16,42,3,0
2018-07-01,0,0,0,1,0,0,0,1,1,0,8,46,3,0
2018-08-01,2,0,2,0,1,0,0,1,5,4,18,50,2,0
2018-09-01,0,0,0,0,0,0,0,0,1,1,7,64,1,0
2018-10-01,0,0,0,0,0,0,0,0,0,1,4,48,2,0
2018-11-01,0,0,0,0,0,0,0,0,1,0,0,49,3,1
2018-12-01,1,0,1,0,0,0,0,0,0,0,0,38,4,1
2019-01-01,0,0,0,0,0,0,0,0,1,0,1,56,1,0
2019-02-01,1,0,1,0,0,0,0,0,0,1,3,39,3,0
2019-03-01,0,0,0,1,1,0,0,0,0,3,4,37,3,0
2019-04-01,2,0,2,0,0,0,0,0,2,5,12,42,3,0
2019-05-01,0,0,0,0,0,0,0,0,0,0,0,43,5,0
2019-06-01,0,0,0,0,0,0,0,0,0,0,0,30,3,0
2019-07-01,0,0,0,0,0,0,0,0,0,0,0,38,3,0
2019-08-01,0,0,0,0,0,0,0,0,1,0,6,30,4,0
2019-09-01,0,0,0,0,0,0,0,0,1,0,7,22,6,0
2019-10-01,0,0,0,0,0,0,0,0,0,0,0,35,1,0
2019-11-01,5,0,2,0,0,0,0,0,1,2,2,44,1,0
2019-12-01,1,0,1,0,0,0,0,0,3,0,7,32,7,0
2020-01-01,3,0,2,1,1,0,0,4,5,3,26,144,7,0
