dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-02-01,20,0,2,2,0,1,1,4,0,4,12,126,4,2
2016-03-01,117,0,2,4,1,1,1,10,1,4,11,25,3,0
2016-04-01,131,0,1,0,0,0,0,0,0,0,0,17,0,0
2016-05-01,268,0,1,0,0,1,1,2,0,2,4,22,2,0
2016-06-01,84,0,2,1,0,0,0,1,1,1,55,12,1,2
2016-07-01,165,0,1,4,0,1,1,5,1,3,44,44,2,0
2016-08-01,239,0,3,0,4,0,0,4,0,6,9,17,0,0
2016-09-01,95,0,2,1,0,0,0,1,1,0,11,11,3,1
2016-10-01,235,0,1,0,0,1,1,1,0,1,1,29,0,1
2016-11-01,86,0,1,1,0,0,0,1,1,0,9,10,0,0
2016-12-01,397,0,1,1,1,0,0,2,0,3,12,8,1,0
2017-01-01,296,0,1,0,0,0,0,0,1,3,49,18,1,0
2017-02-01,243,0,2,1,2,0,0,3,0,2,2,23,3,1
2017-03-01,252,0,1,0,0,0,0,0,0,2,7,16,0,0
2017-04-01,234,0,2,1,0,1,1,2,1,5,28,19,0,0
2017-05-01,124,0,1,0,0,0,0,0,1,0,1,11,1,1
2017-06-01,400,0,1,0,0,0,0,0,0,1,1,8,0,2
2017-07-01,188,0,1,0,0,0,0,0,0,0,0,14,1,0
2017-08-01,53,0,1,0,2,0,0,4,2,5,18,14,2,1
2017-09-01,57,0,1,1,0,0,0,1,2,3,35,246,14,0
2017-10-01,7,0,2,1,1,0,0,2,2,2,49,25,1,2
2017-11-01,0,0,0,3,0,0,0,9,6,0,77,11,3,1
2017-12-01,0,0,0,0,0,0,0,0,0,1,0,23,0,0
2018-01-01,1,0,1,0,0,0,0,0,2,1,9,15,0,0
2018-02-01,0,0,0,0,0,0,0,0,1,0,13,21,0,0
2018-03-01,0,0,0,0,0,0,0,0,2,0,13,20,2,1
2018-04-01,0,0,0,1,0,0,0,1,0,0,0,7,1,1
2018-05-01,15,0,4,1,4,0,0,11,1,7,31,22,0,0
2018-06-01,0,0,0,1,0,0,0,5,2,0,7,24,2,0
2018-07-01,0,0,0,2,1,0,0,14,0,2,9,21,1,0
2018-08-01,0,0,0,1,0,0,0,2,0,1,1,30,0,0
2018-09-01,0,0,0,0,0,0,0,0,3,0,12,19,1,0
2018-10-01,0,0,0,0,0,0,0,0,2,0,1,19,0,1
2018-11-01,137,0,5,1,3,0,0,8,3,25,88,29,3,0
2018-12-01,29,0,1,2,0,0,0,6,5,1,23,36,4,0
2019-01-01,0,0,0,0,0,0,0,0,0,1,4,28,2,2
2019-02-01,0,0,0,0,1,0,0,5,0,2,7,21,1,0
2019-03-01,0,0,0,0,0,0,0,0,2,1,4,27,1,0
2019-04-01,47,0,1,0,0,0,0,0,0,3,13,25,3,0
2019-05-01,16,0,3,1,4,0,0,9,0,9,33,37,2,1
2019-06-01,36,0,1,0,0,0,0,0,1,3,64,27,5,0
2019-07-01,0,0,0,0,0,0,0,0,1,1,8,24,0,0
2019-08-01,113,0,2,9,10,0,0,67,1,16,95,23,1,0
2019-09-01,3,0,2,9,0,0,0,30,4,3,23,27,5,0
2019-10-01,52,0,2,1,1,2,1,11,3,10,51,37,5,1
2019-11-01,48,0,1,0,4,0,0,14,3,11,76,31,4,0
2019-12-01,3,0,1,0,0,0,0,0,2,2,7,28,0,0
2020-01-01,27,0,2,1,2,0,0,10,1,3,12,39,1,0
2020-02-01,91,0,2,1,3,0,0,9,2,17,84,120,10,0
2020-03-01,71,0,1,0,0,0,0,0,7,7,50,34,2,1
2020-04-01,5,0,2,1,1,0,0,2,0,11,51,21,1,0
