dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-03-01,57,0,11,9,2,3,1,96,0,5,26,3,0,4
2016-04-01,7,0,4,4,1,4,2,62,4,5,52,0,0,2
2016-05-01,104,0,8,2,1,0,0,20,0,1,2,1,0,0
2016-06-01,63,0,11,6,7,0,0,70,0,7,32,0,0,0
2016-07-01,48,0,7,1,2,0,0,31,1,2,19,0,0,0
2016-08-01,103,0,11,2,2,0,0,19,0,2,13,1,0,2
2016-09-01,117,0,11,3,4,0,0,40,0,4,22,0,0,0
2016-10-01,157,0,11,5,5,0,0,34,0,5,23,720,52,0
2016-11-01,105,0,9,4,3,0,0,23,0,4,15,39,8,1
2016-12-01,56,0,11,4,6,0,0,33,1,6,22,11,4,0
2017-01-01,76,0,12,8,7,0,0,67,0,7,30,18,3,0
2017-02-01,89,0,10,8,7,0,0,90,0,7,42,7,1,0
2017-03-01,101,0,11,2,2,0,0,9,0,2,4,22,2,0
2017-04-01,56,0,8,0,0,0,0,0,0,0,0,13,2,0
2017-05-01,63,0,11,1,1,0,0,8,0,1,4,11,6,0
2017-06-01,34,0,9,0,0,0,0,0,0,1,4,14,2,0
2017-07-01,26,0,8,0,0,0,0,0,0,0,0,22,1,0
2017-08-01,87,0,9,0,0,0,0,0,0,0,0,10,1,1
2017-09-01,48,0,12,0,2,0,0,14,0,2,14,6,2,1
2017-10-01,90,0,11,0,0,0,0,0,0,0,0,9,2,0
2017-11-01,61,0,6,0,0,0,0,0,0,1,9,8,4,1
2017-12-01,67,0,6,1,0,0,0,17,0,0,0,11,1,0
2018-01-01,34,0,9,1,1,0,0,4,0,1,2,13,3,0
2018-02-01,41,0,9,0,0,0,0,0,0,0,0,7,1,0
2018-03-01,40,0,9,0,1,0,0,17,0,1,17,11,1,1
2018-04-01,82,0,7,0,0,0,0,0,0,0,0,13,3,0
2018-05-01,52,0,8,0,0,0,0,0,0,0,0,183,5,0
2018-06-01,74,0,4,0,0,0,0,0,0,0,0,29,2,0
2018-07-01,23,0,5,0,0,0,0,0,0,0,0,10,3,0
2018-08-01,57,0,7,0,0,0,0,0,0,11,13,17,6,0
2018-09-01,53,0,8,1,1,0,0,2,0,1,1,13,3,0
2018-10-01,78,0,7,2,2,0,0,2,1,2,2,12,1,0
2018-11-01,35,0,6,0,0,0,0,0,0,0,0,9,2,1
2018-12-01,80,0,8,0,0,0,0,0,1,0,2,7,2,0
2019-01-01,88,0,7,0,0,0,0,0,0,0,0,13,3,0
2019-02-01,45,0,7,2,0,0,0,2,0,0,0,30,3,0
2019-03-01,54,0,8,0,0,0,0,0,1,0,0,8,8,0
2019-04-01,55,0,8,0,0,0,0,0,0,0,0,6,2,0
2019-05-01,53,0,8,3,0,0,0,5,0,0,0,5,4,0
2019-06-01,83,0,7,49,8,38,5,106,1,46,29,9,4,0
2019-07-01,55,0,8,63,10,55,6,145,0,66,94,12,3,0
2019-08-01,37,0,7,42,4,37,7,65,2,41,39,3,7,0
2019-09-01,36,0,6,43,3,36,6,27,0,40,16,6,1,0
2019-10-01,44,0,7,45,2,44,7,31,2,46,16,8,4,0
2019-11-01,46,0,7,53,1,46,7,35,1,48,46,4,1,0
2019-12-01,26,0,7,29,3,26,7,12,1,29,9,10,2,0
2020-01-01,42,0,7,43,5,42,7,24,0,47,15,6,2,0
2020-02-01,32,0,6,31,2,32,6,25,2,34,18,5,5,1
2020-03-01,41,0,7,41,0,41,7,2,1,41,1,14,0,0
2020-04-01,21,0,5,20,0,20,5,12,4,20,8,5,2,0
