dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_stargazer,monthly_forks
2016-06-01,367,0,32,1,0
2016-07-01,465,0,40,0,0
2016-08-01,239,0,29,5,3
2016-09-01,448,0,43,8,2
2016-10-01,808,0,43,5,6
2016-11-01,713,0,47,8,7
2016-12-01,1406,0,47,15,3
2017-01-01,783,0,52,9,6
2017-02-01,711,0,59,8,4
2017-03-01,564,0,52,9,8
2017-04-01,632,0,48,20,22
2017-05-01,454,0,44,71,68
2017-06-01,489,0,41,35,31
2017-07-01,443,0,39,50,27
2017-08-01,596,0,42,46,30
2017-09-01,375,0,44,47,22
2017-10-01,675,0,50,54,39
2017-11-01,756,0,55,64,40
2017-12-01,343,0,36,44,32
2018-01-01,530,0,54,64,25
2018-02-01,581,0,60,55,34
2018-03-01,509,0,62,62,38
2018-04-01,517,0,58,69,43
2018-05-01,954,0,73,67,43
2018-06-01,562,0,81,51,34
2018-07-01,694,0,84,89,45
2018-08-01,631,0,83,120,50
2018-09-01,587,0,77,94,39
2018-10-01,947,0,96,93,44
2018-11-01,839,0,94,90,63
2018-12-01,650,0,83,82,43
2019-01-01,866,0,99,124,65
2019-02-01,1445,0,97,133,44
2019-03-01,951,0,87,115,48
2019-04-01,608,0,93,117,70
2019-05-01,846,0,107,109,59
2019-06-01,699,0,79,121,65
2019-07-01,845,0,83,93,47
2019-08-01,691,0,84,107,57
2019-09-01,892,0,107,88,54
2019-10-01,767,0,97,103,61
2019-11-01,674,0,101,132,70
2019-12-01,621,0,104,100,55
2020-01-01,1016,0,123,96,67
2020-02-01,960,0,101,101,58
2020-03-01,1084,0,119,80,73
2020-04-01,1157,0,114,95,78
2020-05-01,951,0,108,126,72
2020-06-01,8,0,4,7,5
