dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-12-01,19,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,16,0,1,0,0,0,0,0,0,0,0,1,0,0
2016-03-01,45,0,1,0,0,0,0,0,0,0,0,0,0,2
2016-04-01,51,0,1,0,0,0,0,0,0,0,0,3,0,0
2016-05-01,46,0,1,0,0,0,0,0,0,0,0,1,0,1
2016-06-01,43,0,1,0,0,0,0,0,0,2,2,0,0,0
2016-07-01,73,0,3,1,0,1,1,0,1,3,6,0,0,0
2016-08-01,44,0,2,1,0,1,1,0,0,1,0,0,0,0
2016-09-01,171,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,123,0,4,14,0,14,2,0,0,15,2,2,0,4
2016-11-01,293,0,8,15,3,12,2,6,3,34,37,193,14,2
2016-12-01,60,0,7,7,0,7,2,12,0,19,29,135,12,3
2017-01-01,96,0,7,7,0,7,1,8,1,16,38,20,6,2
2017-02-01,59,0,2,1,0,1,1,0,0,3,4,19,5,3
2017-03-01,62,0,2,2,0,2,1,14,0,2,7,40,4,2
2017-04-01,85,0,2,1,0,1,1,0,3,3,4,28,5,1
2017-05-01,53,0,1,0,0,0,0,0,6,0,10,20,4,0
2017-06-01,31,0,2,3,1,1,1,0,0,2,0,48,15,0
2017-07-01,1,0,1,3,1,0,0,2,0,1,0,38,18,1
2017-08-01,6,0,3,2,1,2,2,14,0,15,22,40,16,4
2017-09-01,54,0,1,0,0,0,0,0,1,15,26,48,13,1
2017-10-01,133,0,2,2,1,2,1,4,1,7,18,43,5,1
2017-11-01,58,0,3,3,0,2,1,6,4,6,27,75,6,0
2017-12-01,28,0,3,2,0,2,1,0,0,3,2,41,10,0
2018-01-01,36,0,1,0,0,0,0,0,2,1,3,52,16,1
2018-02-01,66,0,1,0,0,0,0,0,6,0,35,39,6,0
2018-03-01,42,0,2,0,0,0,0,0,3,57,137,48,9,1
2018-04-01,177,0,5,10,2,10,2,28,10,40,137,40,5,1
2018-05-01,141,0,6,1,0,1,1,6,17,31,161,18,2,0
2018-06-01,36,0,3,1,0,1,1,0,7,4,19,17,2,1
2018-07-01,67,0,2,4,0,4,1,0,1,24,67,10,4,0
2018-08-01,56,0,2,2,1,1,1,0,2,14,22,30,1,2
2018-09-01,38,0,2,0,0,0,0,0,0,1,1,16,4,1
2018-10-01,83,0,2,0,0,0,0,0,1,2,12,24,6,0
2018-11-01,86,0,2,2,0,2,1,2,1,26,54,24,7,0
2018-12-01,37,0,3,0,0,0,0,0,1,6,9,14,5,0
2019-01-01,79,0,2,5,0,4,2,0,1,8,16,12,4,0
2019-02-01,29,0,3,3,0,4,2,0,0,4,0,13,4,0
2019-03-01,111,0,3,3,0,3,1,0,1,7,10,14,3,0
2019-04-01,41,0,2,0,0,0,0,0,0,5,3,17,5,0
2019-05-01,54,0,3,5,1,4,1,4,0,17,15,12,5,0
2019-06-01,0,0,0,0,0,0,0,0,0,0,0,10,1,0
2019-07-01,57,0,2,5,0,5,1,0,0,6,4,6,1,0
2019-08-01,8,0,1,1,0,0,0,1,1,0,1,4,2,0
2019-09-01,8,0,1,0,0,0,0,0,0,0,0,7,1,0
2019-10-01,72,0,1,0,0,0,0,0,0,0,0,8,0,0
2019-11-01,80,0,2,3,1,3,1,1,1,5,2,3,2,0
2019-12-01,64,0,1,6,0,6,1,0,0,7,1,8,4,1
2020-01-01,68,0,1,3,0,3,1,0,1,4,2,7,0,0
2020-02-01,53,0,2,12,0,11,1,3,1,15,6,12,4,0
