dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-11-01,61,0,1,0,0,0,0,0,0,0,0,0,0,1
2015-12-01,51,0,3,0,0,0,0,0,0,0,0,0,0,1
2016-01-01,124,0,3,0,0,0,0,0,0,0,0,0,0,3
2016-02-01,108,0,3,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,238,0,3,0,0,0,0,0,0,0,0,0,0,1
2016-04-01,19,0,3,0,0,0,0,0,0,0,0,0,0,2
2016-05-01,302,0,2,0,0,0,0,0,0,0,0,0,0,2
2016-06-01,223,0,4,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,364,0,5,0,0,0,0,0,0,0,0,0,0,2
2016-08-01,348,0,4,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,275,0,5,0,0,0,0,0,0,0,0,5,0,1
2016-10-01,298,0,4,0,0,0,0,0,0,0,0,2,0,1
2016-11-01,109,0,4,0,0,0,0,0,0,0,0,1,0,0
2016-12-01,61,0,4,0,0,0,0,0,0,0,0,1,0,1
2017-01-01,106,0,2,0,0,0,0,0,0,0,0,1,0,1
2017-02-01,8,0,4,0,0,0,0,0,0,0,0,1,0,2
2017-03-01,22,0,3,0,0,0,0,0,0,0,0,2,1,3
2017-04-01,9,0,2,0,0,0,0,0,0,0,0,1,1,3
2017-05-01,15,0,5,0,0,0,0,0,0,0,0,2,0,1
2017-06-01,95,0,7,0,0,0,0,0,0,0,0,280,24,2
2017-07-01,64,0,7,20,13,1,1,91,2,51,186,1052,106,4
2017-08-01,64,0,7,2,0,2,1,5,1,11,52,98,19,0
2017-09-01,65,0,7,0,0,0,0,0,2,7,0,40,12,1
2017-10-01,125,0,8,0,0,0,0,0,0,19,58,33,8,0
2017-11-01,54,0,7,0,0,0,0,0,0,14,66,34,2,0
2017-12-01,47,0,8,1,3,0,0,11,0,5,13,21,6,1
2018-01-01,55,0,6,0,1,0,0,5,0,7,25,70,9,0
2018-02-01,36,0,6,2,1,1,1,4,0,4,9,19,4,0
2018-03-01,24,0,6,0,0,0,0,0,0,1,4,20,3,0
2018-04-01,28,0,7,0,0,0,0,0,1,4,24,10,4,0
2018-05-01,15,0,5,4,1,2,2,16,0,9,24,22,6,0
2018-06-01,23,0,4,1,0,2,1,6,0,3,5,27,4,0
2018-07-01,37,0,5,4,2,1,1,1,1,15,46,17,9,0
2018-08-01,40,0,5,0,0,0,0,0,0,5,27,7,4,0
2018-09-01,12,0,4,0,0,0,0,0,0,1,2,17,2,0
2018-10-01,24,0,5,0,0,0,0,0,0,0,0,18,5,1
2018-11-01,27,0,5,0,0,0,0,0,0,7,27,14,3,0
2018-12-01,11,0,6,0,0,0,0,0,1,2,10,61,8,0
2019-01-01,23,0,4,3,5,0,0,20,1,13,65,19,5,0
2019-02-01,20,0,5,0,0,0,0,0,4,2,32,21,1,0
2019-03-01,12,0,4,0,1,0,0,6,3,3,62,25,4,0
2019-04-01,20,0,4,1,1,0,0,2,5,9,47,18,7,0
2019-05-01,37,0,6,3,0,1,1,7,2,4,18,17,6,0
2019-06-01,36,0,5,2,2,2,1,8,0,6,12,21,6,1
2019-07-01,11,0,4,1,1,0,0,8,2,2,9,12,5,0
2019-08-01,9,0,4,0,0,0,0,0,1,2,9,11,1,0
2019-09-01,2,0,2,1,0,0,0,1,2,0,1,17,4,0
2019-10-01,1,0,1,0,0,0,0,0,2,0,1,10,0,0
2019-11-01,0,0,0,0,0,0,0,0,3,1,9,9,2,0
2019-12-01,1,0,1,0,0,0,0,0,2,3,12,28,8,0
