dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-11-01,30,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,63,0,1,0,0,0,0,0,0,0,0,0,0,2
2017-01-01,20,0,1,0,0,0,0,0,0,0,0,0,0,1
2017-02-01,7,0,1,1,0,1,1,0,0,1,0,0,0,1
2017-03-01,39,0,1,2,0,2,1,0,0,2,0,0,0,2
2017-04-01,101,0,1,8,0,8,1,0,0,8,0,0,0,4
2017-05-01,36,0,1,3,0,3,1,0,0,4,0,0,0,0
2017-06-01,60,0,3,8,0,7,1,15,0,10,21,87,8,0
2017-07-01,76,0,6,19,0,17,1,154,1,37,203,249,24,1
2017-08-01,66,0,9,25,2,19,1,99,4,38,138,210,25,2
2017-09-01,100,0,9,30,1,29,1,127,0,48,102,137,18,1
2017-10-01,82,0,10,31,1,29,1,126,2,49,142,160,21,1
2017-11-01,64,0,9,39,4,33,1,106,0,54,85,252,17,1
2017-12-01,98,0,10,44,0,43,1,127,4,63,225,274,23,2
2018-01-01,51,0,11,28,0,24,1,125,1,41,107,264,26,2
2018-02-01,94,0,11,38,5,31,1,111,13,92,442,284,32,1
2018-03-01,105,0,7,23,0,16,1,42,6,45,192,341,32,2
2018-04-01,153,0,14,39,4,32,1,166,15,80,323,376,38,3
2018-05-01,74,0,9,30,8,27,2,98,10,97,377,348,35,0
2018-06-01,65,0,9,20,2,13,1,57,6,52,159,319,35,0
2018-07-01,86,0,12,22,4,20,1,144,13,55,230,366,37,1
2018-08-01,16,0,4,6,0,4,1,18,11,14,94,428,33,1
2018-09-01,34,0,6,20,1,14,1,63,11,23,73,482,43,1
2018-10-01,147,0,18,34,8,38,3,159,19,109,421,383,51,0
2018-11-01,73,0,8,14,0,14,2,39,19,51,216,378,34,1
2018-12-01,108,0,6,18,3,16,2,44,9,55,207,253,38,0
2019-01-01,63,0,11,21,11,21,2,178,24,70,309,276,48,2
2019-02-01,83,0,5,17,3,10,2,41,10,87,369,246,35,0
2019-03-01,98,0,10,26,0,23,2,165,28,163,670,386,49,0
2019-04-01,134,0,21,77,6,72,2,279,29,168,538,301,53,0
2019-05-01,128,0,17,93,6,70,4,386,43,106,340,308,61,1
2019-06-01,60,0,15,55,5,39,3,161,23,86,313,225,36,1
2019-07-01,81,0,12,65,36,42,3,259,23,117,308,264,51,0
2019-08-01,113,0,17,41,3,40,4,186,28,85,251,251,51,0
2019-09-01,154,0,13,148,15,123,2,538,31,186,418,237,47,0
2019-10-01,307,0,57,243,50,158,4,1008,28,301,723,307,123,0
2019-11-01,239,0,16,98,21,73,5,445,28,126,466,206,40,0
2019-12-01,211,0,20,90,41,115,5,586,18,219,586,144,46,0
2020-01-01,144,0,11,117,9,83,5,366,37,153,452,148,44,0
2020-02-01,114,0,11,89,16,74,5,323,42,131,328,128,33,0
2020-03-01,242,0,15,121,14,93,4,368,33,169,337,166,49,1
2020-04-01,153,0,13,88,19,69,6,376,35,143,399,86,42,1
